Module 1 Behavioral Perspective,Key Term,Definition,Key Figure,Example/Application,Exam Trap/Note
Module 1 Behavioral Perspective,Behaviorism,Focuses only on observable behavior and ignores internal mental states.,John B. Watson,"Little Albert experiment (fear conditioning)","Behavior is shaped by environment, not heredity"
Module 1 Behavioral Perspective,Classical Conditioning,Learning through association where a neutral stimulus triggers a response after pairing.,"Ivan Pavlov","Bell (neutral) becomes Conditioned Stimulus (CS) after pairing with food (UCS)","Involves involuntary responses (salivation, fear)"
Module 1 Behavioral Perspective,Unconditioned Stimulus (UCS),"Stimulus that naturally triggers a response without learning",,"Food, loud noise, puff of air",
Module 1 Behavioral Perspective,Conditioned Stimulus (CS),"Previously neutral stimulus that now triggers a reaction",,"The bell (after pairing with food), Teacher's face (if associated with yelling)",
Module 1 Behavioral Perspective,Generalization,"Responding to stimuli similar to the conditioned stimulus",,"Fear of all dogs after being bitten by one","Opposite of Discrimination"
Module 1 Behavioral Perspective,Extinction,"Weakening of the conditioned response when the CS is presented without the UCS",,"Teacher stops giving quizzes after bell ring; anxiety fades",
Module 1 Behavioral Perspective,Operant Conditioning,"Learning where voluntary behavior is strengthened or weakened by consequences","B.F. Skinner","Student studies to get a grade (reinforcer)","Focuses on voluntary behavior (unlike Classical)"
Module 1 Behavioral Perspective,Law of Effect,"Behaviors followed by favorable consequences are more likely to happen again","Edward Thorndike","Cat in puzzle box learns to press lever for food","Precursor to Skinner's Operant Conditioning"
Module 1 Behavioral Perspective,Positive Reinforcement,"Adding a pleasant stimulus to INCREASE behavior",,"Praise, stickers, bonus points","'Positive' means adding something, not 'good'"
Module 1 Behavioral Perspective,Negative Reinforcement,"Removing an unpleasant stimulus to INCREASE behavior",,"Doing homework to stop parents form nagging; Seatbelt to stop beeping","Often confused with Punishment. Reinforcement always INCREASES behavior."
Module 1 Behavioral Perspective,Positive Punishment,"Adding an unpleasant stimulus to DECREASE behavior",,"Detention, extra chores, scolding","'Positive' means adding a stimulus"
Module 1 Behavioral Perspective,Negative Punishment,"Removing a pleasant stimulus to DECREASE behavior",,"Taking away cell phone, time-out","'Negative' means taking something away"
Module 1 Behavioral Perspective,Continuous Reinforcement,"Reinforcing every correct response",,"Giving a sticker for every correct math problem","Best for teaching NEW behaviors"
Module 1 Behavioral Perspective,Fixed Ratio (FR),"Reward after a set number of responses",,"Free pizza after reading 5 books","High response rate with pause after reward"
Module 1 Behavioral Perspective,Variable Ratio (VR),"Reward after an unpredictable number of responses",,"Slot machines, calling on students randomly","Most resistant to extinction; high steady rate"
Module 1 Behavioral Perspective,Fixed Interval (FI),"Reward for first response after a set time period",,"Weekly spelling tests","Scalloped pattern (cramming before the time)"
Module 1 Behavioral Perspective,Shaping,"Reinforcing successive approximations toward a target goal",,"Rewarding holding pencil -> touching paper -> drawing line","Used when student cannot perform task at all yet"
Module 1 Behavioral Perspective,Premack Principle,"Using a high-frequency (preferred) activity to reinforce a low-frequency task","David Premack","""First do your math, then you can play games""","Also known as Grandma's Rule"
Module 1 Behavioral Perspective,Token Economy,"System using tokens (secondary reinforcers) exchanged for backup reinforcers",,"Classroom currency for prizes","Effective in special education and clinical settings"
