Question,Option A,Option B,Option C,Option D,Option E,Answer
"Which of the following theorists is most associated with the concept of the ""Zone of Proximal Development""?",Jean Piaget,Lev Vygotsky,B.F. Skinner,Erik Erikson,Lawrence Kohlberg,B
"A teacher gives a student a sticker every time they raise their hand to speak. This is an example of which behavioral concept?",Negative Reinforcement,Positive Punishment,Positive Reinforcement,Classical Conditioning,Modeling,C
"According to Jean Piaget, children in the Preoperational stage often struggle with which of the following concepts?",Object Permanence,Symbolic Thought,Conservation,Abstract Logic,Reflexive Actions,C
"In the context of classical conditioning, what is the term for a stimulus that naturally triggers a response without any prior learning?",Conditioned Stimulus (CS),Neutral Stimulus (NS),Unconditioned Stimulus (UCS),Conditioned Response (CR),Operant Stimulus (OS),C
"A student studies hard to avoid the unpleasant feeling of failing a test. This behavior is being maintained by:",Positive Reinforcement,Negative Reinforcement,Positive Punishment,Negative Punishment,Extinction,B
"Which schedule of reinforcement involves providing a reward after an unpredictable number of responses, such as in a slot machine?",Fixed Ratio,Fixed Interval,Variable Ratio,Variable Interval,Continuous Reinforcement,C
"The process of grouping individual bits of information into larger, meaningful units to increase working memory capacity is known as:",Encoding,Chunking,Retrieval,Scaffolding,Serializing,B
"Which type of long-term memory involves the recollection of personal experiences and specific events, such as one's prom or sixth birthday?",Semantic Memory,Procedural Memory,Episodic Memory,Iconic Memory,Echoic Memory,C
"A student creates a mental image of a ""dusty dinosaur"" to remember Erikson's stage of Industry vs. Inferiority. This memory strategy is best described as:",Rote Memorization,Elaborative Rehearsal,Maintenance Rehearsal,Chunking,Method of Loci,B
"According to Erik Erikson, the primary psychosocial crisis faced by adolescents is:",Trust vs. Mistrust,Industry vs. Inferiority,Identity vs. Role Confusion,Intimacy vs. Isolation,Generativity vs. Stagnation,C
"If a student attributes their failure on a math test to ""bad luck"" or ""a noisy room,"" they are demonstrating an:",Internal Locus of Control,External Locus of Control,Self-Efficacy Deficit,Incremental View of Intelligence,Entity View of Intelligence,B
"Which of the following best describes ""metacognition""?",The ability to memorize large amounts of data,Thinking about one's own thinking processes,The measurement of intelligence,The process of forgetting information,The physiological basis of learning,B
"A teacher uses a ""token economy"" in the classroom. This practice is most closely aligned with which learning theory?",Cognitivism,Humanism,Behaviorism,Constructivism,Social Learning Theory,C
"According to Maslow's Hierarchy of Needs, which of the following must be met before a student can focus on self-actualization?",Cognitive needs,Aesthetic needs,Physiological needs,Transcendence needs,Intellectual needs,C
"A high school student who strictly obeys laws because ""they are the laws"" and maintain social order is likely in which stage of Kohlberg's moral development?",Pre-conventional (Stage 1),Pre-conventional (Stage 2),Conventional (Stage 3),Conventional (Stage 4),Post-conventional (Stage 5),D
"Which type of assessment is used primarily to guide instruction and provide feedback during the learning process, rather than to measure final mastery?",Summative Assessment,Norm-Referenced Assessment,Formative Assessment,Standardized Assessment,Aptitude Assessment,C
"If a test yields consistent results every time it is administered but does not accurately measure what it claims to measure, the test is:",Valid but not Reliable,Reliable but not Valid,Neither Valid nor Reliable,Both Valid and Reliable,Standardized but not Normed,B
"Which of the following correlation coefficients indicates the strongest relationship between two variables?",0.10,-0.85,0.60,0.00,-0.40,B
