Module 1 Theoretical Perspectives, Perspective, Key Figures, Core Idea, View of Child, Example
Module 1 Theoretical Perspectives, Cognitive Developmental, Piaget, Children actively construct knowledge through specific stages., Active constructor, Child learns by manipulating objects to understand physics.
Module 1 Theoretical Perspectives, Evolutionary, Lorenz, Behavior evolves to solve survival problems., Adaptive animal, Stranger anxiety keeps infants close to caregivers for safety.
Module 1 Theoretical Perspectives, Learning (Behaviorism), "Watson,  Skinner,  Pavlov", Behavior is shaped by conditioning (reinforcement/punishment)., Passive learner, A child fears the dentist because of past pain (conditioning).
Module 1 Theoretical Perspectives, Psychodynamic, "Freud,  Erikson", Unconscious conflicts and early experiences shape personality., Unconscious driver, Strict toilet training leads to fixation on control/orderliness.
Module 1 Theoretical Perspectives, Social Cognitive, Bandura, "Learning occurs via observation,  modeling,  and environment.", Model observer, A child watches a sibling get punished and learns not to do that behavior.
Module 1 Theoretical Perspectives, Sociocultural, Vygotsky, Cultural context and social interaction drive development., Social learner, Learning math concepts through interaction with a more skilled peer.
Module 1 Theoretical Perspectives, Ecological, Bronfenbrenner, "Development occurs within nested systems (family,  school,  society).", System dweller, "A parent's job loss (exosystem) increases stress at home (microsystem)."
Module 2 Research Strategies, Design Type, Timeframe, Subjects, Advantage, Disadvantage
Module 2 Research Strategies, Longitudinal, Years/Decades, Same subjects followed over time, "Shows individual change and developmental trajectories.", "Expensive; participants drop out (attrition); time-consuming."
Module 2 Research Strategies, Cross-Sectional, Single point in time, Different ages compared at once, "Fast; inexpensive; no attrition issues.", "Cannot show individual change; prone to cohort effects (generational differences)."
Module 2 Research Strategies, Cross-Sequential, Years, Multiple cohorts followed over time, Separates age effects from cohort effects., "Complex to analyze; expensive."
Module 3 Biological Development, Teratogen, Critical Period, Potential Effects, Key Insight/Trap
Module 3 Biological Development, Alcohol, "Entire pregnancy (esp. 1st trim.)", "Fetal Alcohol Syndrome (facial abnormalities,  intellectual disability).", "No safe amount exists; leading preventable cause of ID."
Module 3 Biological Development, Smoking/Nicotine, Entire pregnancy, "Low birth weight,  premature birth,  respiratory issues.", Reduces oxygen to fetus via placenta.
Module 3 Biological Development, Rubella (German Measles), First trimester, "Cataracts,  deafness,  heart defects,  intellectual disability.", Dangerous only if mother contracts it during early pregnancy.
Module 3 Biological Development, Thalidomide, First trimester (early), "Severe limb malformations (phocomelia/missing limbs).", "Famous case showing timing matters (sensitive periods)."
Module 3 Biological Development, Zika Virus, "Any (esp. 1st trim.)", "Microcephaly (abnormally small head/brain).", "Associated with recent outbreaks; mosquito-borne."
Module 4 Perceptual & Cognitive, Stage, Age Range, Key Limitation, Key Achievement, Typical Behavior/Test
Module 4 Perceptual & Cognitive, Sensorimotor, 0–2 Years, No mental representation (early)., Object Permanence (knowing things exist when unseen)., Infant searches for a hidden toy (approx. 8–12 months).
Module 4 Perceptual & Cognitive, Preoperational, 2–7 Years, "Centration (focus on one detail); Egocentrism.", "Symbolic thought; Pretend play; Language.", "Child says ""You can't see me"" when covering their own eyes."
Module 4 Perceptual & Cognitive, Concrete Operational, 7–11 Years, Abstract/hypothetical thinking difficulty., "Conservation (mass/volume stay same despite shape change).", Understands that pouring juice into a wide glass doesn't change the amount.
Module 4 Perceptual & Cognitive, Formal Operational, 12+ Years, Adolescent egocentrism (imaginary audience)., Abstract Logic; Hypothetico-deductive reasoning., "Can solve algebra problems and debate ""what if"" scenarios."
