front,back,Module,CLEP Trap
"According to Piaget's Cognitive Developmental Perspective, children learn by being _____.",Active constructors of knowledge.
Which theoretical perspective argues that behavioral traits like stranger anxiety have adaptive value for survival?,The Evolutionary Perspective.
Concept: Classical Conditioning,Definition: A learning process where a neutral stimulus is paired with an unconditioned stimulus to elicit a conditioned response.
"In operant conditioning, what is the term for adding a pleasant consequence to increase a behavior?",Positive reinforcement.
"In operant conditioning, what is the term for removing an unpleasant consequence to increase a behavior?",Negative reinforcement.
"According to the Social Cognitive Perspective, what was the primary finding of Bandura's Bobo doll experiment?",Children imitate aggressive behavior observed in adults.
Vygotsky's concept of 'scaffolding' involves providing support that is _____.,Gradually removed as the child gains competence.
"In Bronfenbrenner’s ecological systems theory, which system represents the immediate environment like family and school?",The Microsystem.
"Which ecological system describes connections between microsystems, such as parent-teacher communication?",The Mesosystem.
"A parent's workplace, which indirectly influences a child's development, belongs to which ecological system?",The Exosystem.
At what approximate age do infants typically develop full object permanence?,8 months.
Which Piagetian stage is characterized by egocentrism and the failure of conservation tasks?,The Preoperational stage (2-7 years).
What is the defining cognitive achievement of Piaget's Concrete Operational stage?,Logical thinking about concrete objects and mastering conservation.
"Which Piagetian stage involves abstract, hypothetical thinking and the testing of hypotheses?",The Formal Operational stage (12+ years).
"In cognitive development, what is the process of fitting new information into existing schemas?",Assimilation.
"In cognitive development, what is the process of changing existing schemas to fit new information?",Accommodation.
What is the primary psychosocial conflict for infants (0-1 year) according to Erikson?,Trust vs. Mistrust.
"According to Erikson, a toddler (1-3 years) struggling to do things themselves is in which stage?",Autonomy vs. Shame and Doubt.
Which Eriksonian stage occurs during adolescence (12-18 years) and focuses on the question 'Who am I?',Identity vs. Role Confusion.
"What is the final Eriksonian stage, where individuals 65 and older reflect on whether their life was meaningful?",Ego Integrity vs. Despair.
Kohlberg’s stage where moral decisions are based on avoiding punishment is called _____.,Stage 1 (Punishment/Obedience).
"In Kohlberg’s theory, 'Postconventional' morality is characterized by an emphasis on _____.",Universal ethical principles and social contracts.
Which research design follows the same subjects repeatedly over several years?,Longitudinal design.
Which research design compares different age groups at a single point in time?,Cross-sectional design.
What is the primary disadvantage of a cross-sectional research design?,It cannot account for individual change and may be affected by cohort effects.
Which complex research design follows multiple cohorts over a period of time?,Cross-sequential design.
"In an experiment, what is the term for the variable that the researcher manipulates?",The Independent Variable (IV).
"In an experiment, what is the term for the variable that represents the measured outcome?",The Dependent Variable (DV).
Why can correlational studies not prove causation?,Because they only measure relationships and do not manipulate variables or control for third factors.
What are the three stages of prenatal development in order?,"Germinal, Embryonic, and Fetal."
Which prenatal stage (weeks 2-8) is most sensitive to damage from teratogens?,The Embryonic stage.
What is the most common preventable cause of intellectual disability in the United States?,Fetal Alcohol Syndrome.
"Which brain structure, responsible for impulse control and planning, is not fully developed until the early 20s?",The Prefrontal Cortex.
The process where unused neural connections are eliminated to increase brain efficiency is called _____.,Synaptic pruning.
What motor development principle states that development proceeds from the head downward to the feet?,The Cephalocaudal principle.
What motor development principle states that development proceeds from the center of the body toward the limbs?,The Proximodistal principle.
At approximately what age does a child typically begin walking independently?,12 to 18 months.
What is the genetic disorder characterized by an extra 21st chromosome?,Down Syndrome (Trisomy 21).
Which secondary sex characteristic is a reliable indicator of the onset of puberty?,The growth of pubic hair.
What is the term for a decreased response to a repeated stimulus in infants?,Habituation.
"A child's inability to understand that a tall, thin glass and a short, wide glass can hold the same amount of liquid is called a failure of _____.",Conservation.
"In Piaget's theory, 'egocentrism' refers specifically to the child's inability to _____.",See another person's perspective.
What is the name for the adolescent belief that their experiences are unique and that they are invulnerable to harm?,Personal fable.
Which type of memory has a capacity of approximately $7 \pm 2$ items for adults?,Working memory (Short-term memory).
The inability to remember events from before the age of 3 or 4 is known as _____.,Infantile amnesia.
"In language development, what is 'fast mapping'?",The ability to learn a new word after only one exposure.
A child who calls every four-legged animal a 'dog' is demonstrating which linguistic error?,Overextension.
A child who uses the word 'cat' only for their own pet and not for other cats is demonstrating _____.,Underextension.
What is 'telegraphic speech'?,"Early sentences that consist only of essential words, omitting function words like 'the' or 'is'."
Which theorist is associated with the idea of 'Universal Grammar' and an innate language acquisition device?,Noam Chomsky.
What is the formula for calculating an IQ score based on mental age (MA) and chronological age (CA)?,$IQ = \frac{Mental Age}{Chronological Age} \times 100$
What is the mean score and standard deviation for most modern IQ tests?,Mean = 100; Standard Deviation = 15.
Which type of intelligence refers to accumulated knowledge and tends to increase or stay stable with age?,Crystallized intelligence.
Which type of intelligence refers to the ability to reason abstractly and peaks in early adulthood?,Fluid intelligence.
What IQ score is typically used as the cutoff for diagnosing an intellectual disability?,Below 70.
