Question,Option A,Option B,Option C,Option D,Option E,Answer
The first negative emotion clearly exhibited during infancy is,fear,shame,guilt,distress,jealousy,Option D
According to behavioral psychologists which of the following treatments is most likely to extinguish disruptive behavior in preschool children?,Threatening to isolate them immediately after such behavior,Ignoring them so that they do not receive the reinforcement they are seeking,Punishing them immediately so they understand what they did wrong,Discouraging them but not punishing them,Reasoning with them and explaining that their behavior is wrong,Option B
In which of the following stages of development do tissues develop into the endoderm ectoderm and mesoderm germ layers?,Germinal,Embryonic,Fetal,Perinatal,Neonatal,Option B
A defining characteristic of children with autism spectrum disorder is,obsessive attachment to their mothers,lack of motor coordination,unresponsiveness to others,hyperactivity,physical abnormality,Option C
Anxiety over performance can positively motivate school achievement in children as long as the degree of anxiety is,very high,high,moderate,low,very low,Option C
According to Jean Piaget cognitive development begins with which of the following?,Preoperations,Concrete operations,Intuitive thought,Sensorimotor activities,Formal operations,Option D
Social-class differences in vocabulary development result from social-class differences in the amount of,maternal anxiety,verbal stimulation,paternal illness,sibling rivalry,marital discord,Option B
Studies in which the same people are tested at different ages are called,longitudinal,cross-sectional,normative,naturalistic,experimental,Option A
Which of the following is most central to the concept of sensitive period?,Growth spurts must occur at specific ages.,Children who do not develop at the same time as their peers experience distress.,A given function emerges automatically during a particular time period regardless of learning experiences.,Particular experiences are especially influential at a certain time in development.,Children go through a negativistic stage as a part of their cognitive development.,Option D
Jimmy saw his favorite candy for sale in the store. He had no money so he planned to steal it. However he changed his mind and decided not to do it because stealing is wrong. According to Sigmund Freud’s theory which part of Jimmy’s personality prevented him from stealing?,Id,Ego,Superego,Anima,Collective unconscious,Option C
If reinforcement is to be most effective in the learning of a new behavior the reinforcement should be,provided as sparingly as possible,administered on an intermittent schedule,used primarily with high achievers,delayed until the end of the learning period,provided soon after the desired behavior,Option E
In Harry Harlow’s experiments infant monkeys raised with only wire or cloth “mothers” were most at ease in strange situations in the presence of,the “mother” who had provided food,the “mother” who had provided contact comfort,the “mother” who had provided primary impulses,other young monkeys,their biological mothers,Option B
A sudden loud noise made in the vicinity of a newborn infant is likely to elicit which of the following reflexes?,Babinski,Moro,Rooting,Palmar grasp,Stepping,Option B
On which of the following types of problems should a four-year-old child and a seven-year-old child perform most similarly?,Conservation of number,Classification,Transformation,Object permanence,Superordinate concepts,Option D
Red-green color blindness is best described as,a sex-linked recessive trait,a sex-linked dominant trait,an autosomal recessive trait,an autosomal dominant trait,a trait resulting from chromosomal breakage,Option A
Over summer vacation Gwen sees a boy she knows from school but she has difficulty remembering his name. Which of her memory processes is failing in this situation?,Storage,Retrieval,Encoding,Short-term memory,Sensory memory,Option B
Which of the following people developed a behavioral theory?,Sigmund Freud,Jean Piaget,B. F. Skinner,Lawrence Kohlberg,Erik Erikson,Option C
Which of the following is true of menopause in men?,Menopause is purely a physical phenomenon.,Menopause may result from a lack of exercise.,Menopause may result from work-related stress.,Menopause is differentially damaging to the male psyche depending on age.,Menopause is physically impossible because males do not menstruate.,Option E
Which of the following dimensions of infant temperament is most likely to be positively correlated with antisocial behavior later in life?,Attention span,Activity level,Approach,Irritable distress,Rhythmicity,Option D
In accounting for the rapid expansion of a child’s early vocabulary Susan Carey argued that a major role must be played by the child’s own active cognitive processing. Adults simply cannot teach a child exactly what referent every word picks out. Carey coined which of the following terms to denote this concept?,Fast mapping,Lexical conventionality,Lexical contrast,Linguistic empiricism,Metacognition,Option A
