"Module 1 Basic Economic Concepts","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 1 Basic Economic Concepts","Scarcity","Fundamental condition where limited resources cannot satisfy unlimited human wants, forcing choices about resource allocation","Even in a wealthy country, time and skilled labor are limited so not all projects can be completed","Often confused with a temporary shortage; scarcity is permanent and universal, shortages are temporary market conditions","N/A"
"Module 1 Basic Economic Concepts","Opportunity cost","Value of the next best alternative forgone when a choice is made","Choosing to study for an exam instead of working a paid shift; opportunity cost is the wages you didn't earn","Students list all alternatives as cost; only the single highest-valued foregone option counts","N/A"
"Module 1 Basic Economic Concepts","Trade-off","The idea that getting more of one good requires giving up some of another due to scarcity","Government spending more on defense may require less spending on education or healthcare","Students equate 'trade-off' with only money cost and ignore time or resource costs","N/A"
"Module 1 Basic Economic Concepts","Production Possibilities Curve (PPC)","Graph that shows maximum combinations of two goods an economy can produce with given resources and technology","PPC between consumer goods and capital goods showing frontier of possible combinations","Points inside the PPC are attainable but inefficient; outside points are unattainable with current resources","N/A"
"Module 1 Basic Economic Concepts","Economic growth on PPC","Increase in the economy's capacity to produce, represented by an outward shift of the entire PPC","Improved technology in both agriculture and manufacturing shifts PPC outward","Students think moving along an existing PPC is growth; that is just reallocating resources, not increasing capacity","N/A"
"Module 1 Basic Economic Concepts","Absolute advantage","Ability to produce more of a good with the same amount of resources than another producer","Country A can produce 10 tons of steel while Country B can produce 6 tons with same inputs; A has absolute advantage","Used incorrectly as the basis for trade decisions; CLEP focuses on comparative advantage for specialization","N/A"
"Module 1 Basic Economic Concepts","Comparative advantage","Ability to produce a good at a lower opportunity cost than another producer, guiding specialization and trade","If Country A gives up 2 units of cloth for 1 unit of wheat while Country B gives up 4 units, A has comparative advantage in wheat","Students pick the country that produces the most (absolute advantage) instead of the one with lower opportunity cost","N/A"
"Module 1 Basic Economic Concepts","Terms of trade","Agreed exchange rate between goods that allows both countries to benefit from trade","If A trades 1 wheat for between 2 and 4 cloth with B, both gain from trade","Students choose trade ratios outside the range between the two opportunity costs, which would hurt one trading partner","Must lie between each country's opportunity cost for the traded good"
"Module 1 Basic Economic Concepts","Law of demand","Ceteris paribus, as price falls, quantity demanded rises; as price rises, quantity demanded falls","A drop in movie ticket prices leads to more tickets purchased, holding other factors constant","Confusing 'change in demand' (shift) with 'change in quantity demanded' (movement along curve)","Inverse relationship between price and quantity demanded"
