Question,Option A,Option B,Option C,Option D,Option E,Answer
"Which of the following best defines scarcity in macroeconomics?",Unlimited resources and unlimited wants,Limited resources and limited wants,Limited resources and unlimited wants,Unlimited resources and limited wants,"A lack of money in the economy",C
"Opportunity cost is best described as:",The monetary cost of a decision,"All alternatives given up when a choice is made",The difference between benefits and costs,The value of the next best alternative forgone,"The sum of explicit and implicit costs",D
"A point inside (beneath) a production possibilities curve represents:",Efficient use of resources,Unattainable production level,"Inefficient use or unemployment of resources","Economic growth from new technology","Full employment",C
"An outward shift of the production possibilities curve can be caused by:",An increase in unemployment,A decrease in capital stock,Destruction from war,"Improvements in technology or resources","A higher price level",D
"Comparative advantage is based on:",Lower money costs,Lower opportunity costs,Higher absolute output,Cheaper labor,"Higher productivity in all goods",B
"A country should specialize in producing the good for which it:",Has the highest opportunity cost,Has the lowest opportunity cost,Has the highest wage,Has the lowest wage,"Has the largest population",B
"If a price ceiling is set below the equilibrium price, the result will be:",A surplus,No effect on the market,A shortage,"A new higher equilibrium price","An outward shift of demand",C
"If a binding price floor is imposed above equilibrium, which outcome is most likely?",A shortage,A surplus,"No change in quantity","Increased demand","Price will fall to equilibrium",B
"A decrease in the price of a good, ceteris paribus, will:",Shift the demand curve left,Shift the demand curve right,Decrease quantity demanded,Increase quantity demanded,"Decrease supply",D
"Which of the following will shift the market demand curve for a normal good to the right?",A decrease in consumer income,"An increase in the price of a complement","A decrease in the number of buyers","An increase in consumer income","A decrease in the price of the good itself",D
"Gross Domestic Product (GDP) measures:",Market value of all final and intermediate goods,"Market value of all final goods and services produced within a country","Total income of all citizens including abroad","Total value of all financial transactions","Market value of all goods produced by citizens only",B
"Which of the following is counted in current U.S. GDP?",Purchase of 100 shares of stock in a U.S. firm,"Social Security payments","A new car produced and sold in the U.S. this year","A used textbook sold online","An imported smartphone",C
"Using the expenditure approach, GDP equals:",C + I + G,"C + I + G + T","C + I + G + (X − M)",C + G + (X − M),C + I + G + (M − X),C
"Nominal GDP differs from real GDP in that nominal GDP:",Is adjusted for inflation,Uses base-year prices,Is measured in current-year prices,"Excludes government spending","Only includes consumer spending",C
"Real GDP is used instead of nominal GDP to:",Measure price changes only,Compare dollar values across countries,Measure output without price level changes,"Measure only consumer goods production","Exclude imports",C
"The GDP deflator is a measure of:",Average price level of all goods in CPI,"Real GDP growth","Overall price level of all domestically produced goods and services","Unemployment rate","Foreign price levels",C
"The GDP deflator is calculated as:",Real GDP / nominal GDP * 100,"Nominal GDP / real GDP * 100","CPI current / CPI base * 100","(Current basket / base basket) * 100","Real GDP / population",B
"The labor force consists of:",All adults in the country,All employed persons,All employed plus unemployed actively seeking work,All unemployed persons,"All full-time workers only",C
"The unemployment rate is defined as:",Unemployed / population * 100,Employed / labor force * 100,Employed / population * 100,"Unemployed / labor force * 100","Labor force / population * 100",D
"A person who has given up looking for work after unsuccessful searches is called:",Frictionally unemployed,Structurally unemployed,Cyclically unemployed,A discouraged worker,"Part of the labor force",D
"Frictional unemployment is best described as:",Unemployment due to business cycle downturns,"Unemployment due to skill mismatches","Short-term unemployment while between jobs or entering the labor force","Zero unemployment","Unemployment due to minimum wage laws",C
"Structural unemployment occurs when:",Workers are between jobs,"Workers lack skills for available jobs","There is insufficient aggregate demand","The economy is at full employment","The unemployment rate is zero",B
"Cyclical unemployment is associated with:",Technological change,"Normal job search","Recessions and downturns in the business cycle","Seasonal changes","Population growth",C
"The natural rate of unemployment includes:",Only cyclical unemployment,Frictional and structural unemployment,"Only frictional unemployment","Only structural unemployment","All unemployment including cyclical",B
"The Consumer Price Index (CPI) is designed to measure:",Prices of all goods produced domestically,"Average change over time in prices of a fixed basket of consumer goods and services","Average wage changes","Interest rate changes","Tax burden on consumers",B
"The CPI in year 1 is 100 and in year 2 is 110. The inflation rate between year 1 and year 2 is:",5%,"9.1%",10%,11%,"110%",C
"If the nominal interest rate is 8% and the inflation rate is 3%, the real interest rate is approximately:",5%,8%,11%,3%,"−5%",A
"Demand-pull inflation is most likely caused by:",Decrease in aggregate demand,Decrease in short-run aggregate supply,Increase in aggregate demand,Increase in long-run aggregate supply,"Decrease in money supply",C
"Cost-push inflation is most likely the result of:",An outward shift of AD,"An inward shift of SRAS due to rising input costs","An outward shift of LRAS","A decrease in money demand","Lower wages",B
