"Module 1 Basic Economic Concepts","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 1 Basic Economic Concepts","Scarcity","Condition where limited resources cannot satisfy unlimited wants, forcing choices about what to produce, how, and for whom","Time, land, and capital are limited so not all goods and services can be produced","Often confused with a temporary shortage; scarcity is permanent and universal, shortages are temporary market outcomes","N/A"
"Module 1 Basic Economic Concepts","Opportunity cost","Value of the next best alternative forgone when a choice is made","Choosing to study for two hours instead of working; opportunity cost is the wages you could have earned","Students list all alternatives as 'cost'; only the single highest-valued foregone option counts","N/A"
"Module 1 Basic Economic Concepts","Trade-off","Situation where gaining more of one thing requires giving up something else due to scarcity","Allocating more land to housing means less land for parks","Students treat trade-offs as only money-related, ignoring time and resource trade-offs","N/A"
"Module 1 Basic Economic Concepts","Marginal analysis","Decision-making approach that compares the additional benefit of one more unit to the additional cost","A firm hires another worker only if the extra revenue exceeds the extra wage cost","Students use total or average values instead of marginal values when applying decision rules","Optimal when marginal benefit = marginal cost"
"Module 1 Basic Economic Concepts","Production Possibilities Curve (PPC)","Curve showing maximum combinations of two goods that can be produced with available resources and technology","Trade-off between producing robots and pizzas at full employment","Points inside PPC are attainable but inefficient; points outside are unattainable with current resources","N/A"
"Module 1 Basic Economic Concepts","Economic growth on PPC","Increase in an economy's capacity to produce, represented by an outward shift of the PPC","Improved technology in both agriculture and manufacturing shifts the frontier outward","Moving along an existing PPC is not growth, it is just reallocating production","N/A"
"Module 1 Basic Economic Concepts","Absolute advantage","Ability to produce more of a good with the same amount of resources than another producer","Country A can produce 10 units of wheat while Country B can produce 6 with same resources","Students incorrectly use absolute advantage to determine specialization instead of comparative advantage","N/A"
"Module 1 Basic Economic Concepts","Comparative advantage","Ability to produce a good at a lower opportunity cost than another producer, which determines specialization and trade","If Country A gives up 2 cloth per wheat and Country B gives up 4 cloth per wheat, A has comparative advantage in wheat","Students pick the producer who makes the most output instead of lowest opportunity cost","N/A"
"Module 1 Basic Economic Concepts","Terms of trade","Agreed exchange ratio between goods that allows both trading partners to gain from trade","If A trades 1 wheat for between 2 and 4 cloth, both A and B benefit","Choosing trade ratios outside the range between opportunity costs benefits only one country or neither","Must lie between each country's opportunity cost for that good"
"Module 1 Basic Economic Concepts","Law of demand","Ceteris paribus, as the price of a good falls, the quantity demanded rises; as price rises, quantity demanded falls","Lower movie ticket prices lead more people to buy tickets","Confusing a 'change in demand' (shift) with 'change in quantity demanded' (movement along curve)","Inverse relationship between price and quantity demanded"
"Module 1 Basic Economic Concepts","Law of supply","Ceteris paribus, as the price of a good rises, the quantity supplied rises; as price falls, quantity supplied falls","Higher apple prices encourage farmers to supply more apples","Students call a movement up the supply curve an 'increase in supply' when only price changed","Direct relationship between price and quantity supplied"
"Module 1 Basic Economic Concepts","Market equilibrium","Price and quantity where quantity demanded equals quantity supplied, with no inherent pressure to change","At $5 per unit, buyers want 100 units and sellers supply 100 units","Students interpret equilibrium as 'fair' or 'socially optimal'; it simply balances Qd and Qs","Qd = Qs"
"Module 1 Basic Economic Concepts","Shortage","Quantity demanded exceeds quantity supplied at a price below equilibrium","At $3 when equilibrium is $5, more consumers want the good than producers are willing to supply","Students label any high price as shortage instead of comparing Qd vs Qs","Qd > Qs at given price"
"Module 1 Basic Economic Concepts","Surplus","Quantity supplied exceeds quantity demanded at a price above equilibrium","At $7 when equilibrium is $5, sellers can't sell all they produce","Students mislabel surplus as shortage when they focus only on price level, not quantities","Qs > Qd at given price"
"Module 1 Basic Economic Concepts","Price ceiling","Legal maximum price; if set below equilibrium, it is binding and creates a shortage","Rent control capping rent below market rate","Students confuse which policy causes shortage; binding ceiling creates shortage, not surplus","Binding if ceiling < equilibrium price"
"Module 1 Basic Economic Concepts","Price floor","Legal minimum price; if set above equilibrium, it is binding and creates a surplus","Minimum wage set above market wage causing excess labor supply","Students incorrectly say floors cause shortages; binding floors cause surpluses","Binding if floor > equilibrium price"
"Module 1 Basic Economic Concepts","Normal good","Good for which demand increases when income increases, holding other factors constant","Restaurant meals demanded more as consumer income rises","Students confuse normal goods with 'luxury' goods only; normal includes many everyday items","Positive income elasticity of demand"
"Module 1 Basic Economic Concepts","Inferior good","Good for which demand decreases when income increases, holding other factors constant","Instant noodles may be consumed less as income rises","Students confuse 'inferior' with low quality; it is about income response, not quality","Negative income elasticity of demand"
"Module 1 Basic Economic Concepts","Substitutes","Goods that can replace each other in consumption; when price of one rises, demand for the other rises","Tea and coffee; if coffee price rises, demand for tea increases","Students mix up substitutes and complements, reversing demand shift directions","Positive cross-price elasticity of demand"
"Module 1 Basic Economic Concepts","Complements","Goods consumed together; when price of one rises, demand for the other falls","Cars and gasoline; higher gas prices reduce demand for cars","Students misidentify complements as substitutes and predict wrong demand change","Negative cross-price elasticity of demand"
"Module 2 Product Markets – Supply and Demand","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 2 Product Markets – Supply and Demand","Demand shifters","Non-price factors that shift the entire demand curve: income, tastes, prices of related goods, expectations, number of buyers","Increase in population shifts demand for housing rightward","Students treat a change in the good's own price as a shifter instead of a movement along demand","N/A"
"Module 2 Product Markets – Supply and Demand","Supply shifters","Non-price factors that shift the entire supply curve: input prices, technology, taxes/subsidies, expectations, number of sellers","Technological improvement lowers production cost and shifts supply to the right","Students confuse cost changes with demand shifts when the underlying shock is clearly cost-side","N/A"
"Module 2 Product Markets – Supply and Demand","Price elasticity of demand","Measure of responsiveness of quantity demanded to a change in price","Demand for movie tickets falls sharply when ticket prices rise modestly","Reversing formula and computing (%ΔP / %ΔQ) instead of (%ΔQ / %ΔP)","Ed = (% change in quantity demanded) / (% change in price)"
"Module 2 Product Markets – Supply and Demand","Elastic demand","Demand where the absolute value of elasticity is greater than 1; quantity responds strongly to price changes","A 10 percent price drop increases quantity demanded by 25 percent","Students assume steep curves are always more inelastic without calculating percentage changes","|Ed| > 1"
"Module 2 Product Markets – Supply and Demand","Inelastic demand","Demand where the absolute value of elasticity is less than 1; quantity responds weakly to price changes","Gasoline demand changes little when price increases","Students misapply total revenue rules because they misjudge elasticity type","|Ed| < 1"
"Module 2 Product Markets – Supply and Demand","Unit elastic demand","Demand where the absolute value of elasticity equals 1; percentage change in quantity equals percentage change in price","A 10 percent price increase causes a 10 percent drop in quantity demanded","Forgetting that total revenue is maximized at unit elasticity on a straight-line demand curve","|Ed| = 1"
"Module 2 Product Markets – Supply and Demand","Total revenue (TR)","Total amount received by sellers, equal to price times quantity sold","A firm selling 100 units at $5 earns $500 in total revenue","Students confuse TR with profit (profit subtracts total cost)","TR = price × quantity"
"Module 2 Product Markets – Supply and Demand","TR and elasticity relationship","With elastic demand, price and total revenue move in opposite directions; with inelastic demand, they move in same direction","Raising price with inelastic demand (like insulin) increases total revenue","Students memorize rules but apply them backward under pressure","Elastic: P↑ → TR↓; Inelastic: P↑ → TR↑"
"Module 2 Product Markets – Supply and Demand","Consumer surplus","Difference between what consumers are willing to pay and what they actually pay; area under demand curve above price","If a buyer is willing to pay $10 but pays $7, consumer surplus is $3","Students shade area above demand or below price incorrectly, mixing it with producer surplus","Area under demand curve and above price line up to quantity"
"Module 2 Product Markets – Supply and Demand","Producer surplus","Difference between actual price received and the minimum price producers are willing to accept; area above supply curve below price","A seller willing to accept $4 but sells for $7 gains $3 in producer surplus","Students treat producer surplus as equal to profit; profit subtracts total cost, not just marginal willingness","Area above supply curve and below price line up to quantity"
"Module 2 Product Markets – Supply and Demand","Deadweight loss (DWL)","Loss of total surplus when quantity traded is below the efficient equilibrium due to taxes, price controls, or market power","Tax on a good reducing quantity traded from Q* to Qt creates a DWL triangle","Students shade the entire tax rectangle as DWL instead of the smaller lost-trade triangle","Area of triangle between supply and demand from Q* to Qt"
"Module 2 Product Markets – Supply and Demand","Tax incidence","Division of the economic burden of a tax between buyers and sellers, determined by relative elasticities","If demand is inelastic and supply elastic, consumers bear more of the tax","Students think who 'legally' sends the tax determines incidence; it's actually elasticity that matters","More inelastic side bears more of the burden"
"Module 2 Product Markets – Supply and Demand","Price controls and DWL","Binding ceilings and floors create inefficiency by preventing the market from reaching equilibrium quantity, generating DWL","Rent control reduces quantity of apartments supplied and quality, causing DWL","Forgetting that even if some consumers pay less, total surplus is lower","N/A"
"Module 2 Product Markets – Consumer Choice","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 2 Product Markets – Consumer Choice","Total utility (TU)","Total satisfaction derived from consuming a given quantity of a good or service","Total satisfaction from eating three slices of pizza","Students think TU must decrease as quantity increases; TU usually rises while MU falls","N/A"
"Module 2 Product Markets – Consumer Choice","Marginal utility (MU)","Additional satisfaction from consuming one more unit of a good or service","Extra satisfaction from eating a fourth slice of pizza","Confusing MU with TU; exam questions often give MU tables, not TU","MU = change in total utility / change in quantity"
"Module 2 Product Markets – Consumer Choice","Law of diminishing marginal utility","Principle that marginal utility decreases as more units of a good are consumed","First slice of pizza gives high MU; by the fourth slice, MU is much lower","Students assume TU must fall when MU falls; TU still rises while MU is positive","N/A"
"Module 2 Product Markets – Consumer Choice","Utility maximization rule","Consumers maximize total utility when marginal utility per dollar is equal across all goods and the budget is fully spent","Choosing quantities of pizza and soda so MU(pizza)/P(pizza) = MU(soda)/P(soda)","Students incorrectly set MU of goods equal without dividing by price","MUx / Px = MUy / Py"
"Module 2 Product Markets – Consumer Choice","Budget constraint","Line showing all combinations of two goods a consumer can afford given income and prices","With $20, pizzas at $10 and sodas at $2, budget line shows combinations of pizzas and sodas","Misreading a pivot of the budget line as income change rather than price change","Budget: income = Px*Qx + Py*Qy"
"Module 2 Product Markets – Consumer Choice","Income effect","Change in quantity demanded resulting from a change in real purchasing power when the price of a good changes","Fall in price of a normal good effectively makes consumer richer, increasing quantity demanded","Students attribute all quantity change to substitution effect and ignore income effect","N/A"
