front,back,CLEP Trap
"Scarcity","Condition where limited resources cannot satisfy unlimited wants, forcing choices about what to produce, how, and for whom","Trap: Students confuse scarcity (permanent, everywhere) with a temporary market shortage"
"Opportunity cost","The value of the next best alternative foregone when a choice is made","Trap: Often misinterpreted as the sum of all alternatives given up instead of just the single highest-valued one"
"Marginal analysis","Decision-making by comparing the additional (marginal) benefit of one more unit to the additional (marginal) cost","Trap: Students answer based on total or average values rather than marginal values"
"Production Possibilities Curve (PPC)","Graph showing maximum combinations of two goods that can be produced with given resources and technology","Trap: Points inside PPC are not 'unattainable'; they are inefficient or represent unemployment"
"Economic growth on PPC","Shown as an outward shift of the entire PPC due to more resources, better technology, or improved institutions","Trap: Moving along an existing PPC is not growth; it is reallocation of resources"
"Absolute advantage","Ability of a producer to make more of a good with the same inputs than another producer","Trap: Students use absolute advantage to decide specialization; comparative advantage is what matters for trade"
"Comparative advantage","Ability to produce a good at a lower opportunity cost than another producer","Trap: Many pick the producer who can make more units instead of the one with the lower opportunity cost"
"Terms of trade","Rate at which goods are exchanged between countries; beneficial if between each country’s opportunity cost for that good","Trap: Accepting trading ratios outside the opportunity cost range that benefit only one country"
"Law of demand","As price decreases, quantity demanded increases, ceteris paribus, and vice versa","Trap: Confusing a 'change in demand' (shift) with a 'change in quantity demanded' (movement along the curve)"
"Law of supply","As price increases, quantity supplied increases, ceteris paribus, and vice versa","Trap: Thinking 'an increase in supply' refers to movement up the curve caused by higher price rather than an actual rightward shift"
"Demand shifters","Income, tastes, prices of related goods, expectations, and number of buyers shift the entire demand curve","Trap: Treating a price change of the good itself as a demand shifter instead of a movement along the curve"
"Supply shifters","Input prices, technology, taxes and subsidies, expectations, and number of sellers shift the supply curve","Trap: Students misinterpret a movement along supply from a price change as a shift in supply"
"Substitutes","Goods that can replace each other; when the price of one rises, demand for the other rises","Trap: Confusing substitutes with complements, reversing the direction of demand shifts"
"Complements","Goods consumed together; when the price of one rises, demand for the other falls","Trap: Treating complements as substitutes so they predict the opposite demand change"
"Market equilibrium","Price and quantity at which quantity demanded equals quantity supplied; no inherent tendency for change","Trap: Students assume equilibrium is 'fair' or 'socially optimal' rather than simply the intersection of S and D"
"Shortage","Quantity demanded exceeds quantity supplied at a price below equilibrium","Trap: Calling any high price a shortage instead of checking Qd versus Qs at that price"
"Surplus","Quantity supplied exceeds quantity demanded at a price above equilibrium","Trap: Labeling surpluses as shortages because the price is 'too low' conceptually, instead of referencing Qd and Qs"
"Price ceiling","Legal maximum price; if set below equilibrium, it is binding and creates a shortage","Trap: Mixing up which policy (ceiling or floor) creates shortages versus surpluses"
"Price floor","Legal minimum price; if set above equilibrium, it is binding and creates a surplus","Trap: Thinking minimum wage (a price floor) causes a shortage of labor rather than a surplus (unemployment) if binding"
"Consumer surplus","Area between the demand curve and the price line up to the quantity traded; measures buyer benefit above price paid","Trap: Students compute total revenue instead of the triangular surplus area or misidentify the region on the graph"
"Producer surplus","Area between the price line and the supply curve up to the quantity traded; measures seller benefit above minimum acceptable price","Trap: Confusing producer surplus with profit or using the wrong area under demand instead of above supply"
"Total surplus","Sum of consumer and producer surplus; maximized at competitive equilibrium","Trap: Assuming monopolies or price controls can increase total surplus compared to competition"
"Deadweight loss (DWL)","Loss of total surplus that occurs when quantity traded is less than the efficient competitive equilibrium (or more, in some distortions)","Trap: Students shade the tax rectangle or entire area between supply and demand instead of only the small triangle representing lost trades"
"Price elasticity of demand","Measure of responsiveness of quantity demanded to a change in price: Ed = (% change in quantity demanded) / (% change in price)","Trap: Reversing the fraction (price over quantity) or forgetting to use percentage changes"
"Elastic vs inelastic demand","Elastic: absolute value of Ed greater than 1; inelastic: absolute value of Ed less than 1; unit elastic: absolute value of Ed equals 1","Trap: Treating 'steeper' visually as always more inelastic without considering actual percent changes"
"Total revenue and elasticity","TR = price * quantity; when demand is elastic, price and total revenue move in opposite directions; when inelastic, they move in the same direction","Trap: Memorizing rules but then applying them backward under exam pressure"
"Income elasticity of demand","Measures responsiveness of demand to changes in income; positive for normal goods, negative for inferior goods","Trap: Calling a good 'normal' or 'inferior' based on price changes instead of income changes"
"Cross-price elasticity of demand","Measures responsiveness of demand for one good to price changes of another; positive for substitutes, negative for complements","Trap: Misreading the sign, so they label complements as substitutes or vice versa"
"Normal vs inferior goods","Normal: demand increases when income rises; inferior: demand decreases when income rises","Trap: Confusing inferior goods with low-quality goods; 'inferior' is about income response, not quality"
"Giffen good","A theoretical inferior good for which demand increases when its price rises because of strong income effect","Trap: Over-applying this rare case to justify upward-sloping demand in normal questions"
"Utility","A measure of satisfaction or happiness from consuming goods and services","Trap: Treating utility as something objectively measurable in dollars instead of a theoretical concept"
"Marginal utility (MU)","The additional satisfaction from consuming one more unit of a good or service","Trap: Using total utility instead of marginal utility in decision rules"
