Question,Option A,Option B,Option C,Option D,Option E,Answer
"Which of the following best defines scarcity?",Unlimited resources and unlimited wants,Limited resources and limited wants,Limited resources and unlimited wants,Unlimited resources and limited wants,"A lack of money in the economy",C
"Opportunity cost is best described as:",The monetary cost of a decision,"All alternatives given up when a choice is made",The difference between benefits and costs,The value of the next best alternative forgone,"The sum of explicit and implicit costs",D
"A point inside the production possibilities curve represents:",Efficient use of resources,Unattainable production level,"Inefficient use or unemployment of resources","Economic growth from new technology","Full employment",C
"An outward shift of the production possibilities curve can be caused by:",An increase in unemployment,A decrease in capital stock,Destruction from war,"Improvements in technology or resources","A higher price level",D
"Comparative advantage is based on:",Lower money costs,Lower opportunity costs,Higher absolute output,Cheaper labor,"Higher productivity in all goods",B
"A country should specialize in producing the good for which it:",Has the highest opportunity cost,Has the lowest opportunity cost,Has the highest wage,Has the lowest wage,"Has the largest population",B
"If a price ceiling is set below the equilibrium price, the result will be:",A surplus,No effect on the market,A shortage,"A new higher equilibrium price","An outward shift of demand",C
"If a binding price floor is imposed above equilibrium, which outcome is most likely?",A shortage,A surplus,"No change in quantity","Increased demand","Price will fall to equilibrium",B
"A decrease in the price of a good, ceteris paribus, will:",Shift the demand curve left,Shift the demand curve right,Decrease quantity demanded,Increase quantity demanded,"Decrease supply",D
"Which of the following will shift the market demand curve for a normal good to the right?",A decrease in consumer income,"An increase in the price of a complement","A decrease in the number of buyers","An increase in consumer income","A decrease in the price of the good itself",D
"Which of the following is NOT included in GDP?",New houses built in the country,"Used cars sold in the country","New cars produced in the country","Government spending on roads","Exports of software",B
"Which of the following would shift the supply curve of wheat to the right?",Increase in demand for wheat,Decrease in wheat price,"New technology that lowers production costs","Increase in input prices","Increase in the number of buyers",C
"The price elasticity of demand is calculated as:",(% change in price) / (% change in quantity),(% change in quantity) / (% change in price),Change in quantity / change in price,"Total revenue / price","Quantity / price",B
"If demand is elastic, a 10% increase in price will cause:",Quantity demanded to increase by more than 10%,"Quantity demanded to increase by less than 10%","Quantity demanded to decrease by exactly 10%","Quantity demanded to decrease by more than 10%","No change in quantity demanded",D
"If demand is inelastic, total revenue and price move:",In opposite directions,In the same direction,"Total revenue is always constant","Total revenue always decreases","Total revenue always increases",B
"Consumer surplus is represented by the area:",Above supply curve and below price,Below demand curve and above price,"Between supply and demand curves","Above demand curve and below price","Below supply curve and above price",B
"Producer surplus is represented by the area:",Above demand curve and below price,Below supply curve and above price,"Between supply and demand curves","Above supply curve and below price","Below demand curve and above price",B
"Deadweight loss from a tax is the:",Tax revenue collected,"Loss of total surplus from trades that don't occur","Consumer surplus transferred to government","Producer surplus transferred to consumers","Total revenue change",B
"A binding price ceiling will most likely cause:",A surplus,A shortage,"No change in quantity traded","An increase in quality","A decrease in price",B
