Module 1 Sociological Perspective,Term,Definition,Key Theorist,CLEP Note
Module 1 Sociological Perspective,Sociology,"The systematic, scientific study of human society and social behavior.",Auguste Comte,"Focuses on patterns, groups, and institutions."
Module 1 Sociological Perspective,Sociological Imagination,"Ability to link personal troubles (e.g., job loss) to public issues (e.g., recession).","C. Wright Mills","Key phrase: Connecting biography to history."
Module 1 Sociological Perspective,Social Facts,"External forces (laws, morals, values) that exert control over the individual.",Émile Durkheim,"Things that exist outside the individual but govern behavior."
Module 1 Sociological Perspective,Positivism,"The belief that society can be studied scientifically using observation and statistics.",Auguste Comte,"Application of the scientific method to social life."
Module 1 Sociological Perspective,Structural Functionalism,"Macro-level theory viewing society as a complex system of interdependent parts promoting stability.",Durkheim / Parsons,"Keywords: Stability, Harmony, Function, Equilibrium."
Module 1 Sociological Perspective,Conflict Theory,"Macro-level theory viewing society as an arena of inequality and power struggles over scarce resources.",Marx / Weber / Mills,"Keywords: Power, Exploitation, Inequality, Competition."
Module 1 Sociological Perspective,Symbolic Interactionism,"Micro-level theory focusing on how people use symbols to create shared meaning in everyday interaction.",Mead / Cooley / Goffman,"Keywords: Symbols, Meaning, Interaction, Face-to-face."
Module 1 Sociological Perspective,Manifest Functions,"The recognized and intended consequences of a social pattern.","Robert Merton","Example: School is for learning math."
Module 1 Sociological Perspective,Latent Functions,"The unrecognized and unintended consequences of a social pattern.","Robert Merton","Example: School provides free childcare."
Module 1 Sociological Perspective,Dysfunction,"Undesirable consequences of a social pattern for the operation of society.","Robert Merton","Disrupts social stability."
Module 1 Sociological Perspective,Verstehen,"German term for 'understanding'; insight into the subjective meanings people attach to their actions.","Max Weber","Opposite of strict positivism; requires empathy."
Module 1 Sociological Perspective,Anomie,"A state of normlessness or confusion caused by rapid social change.",Émile Durkheim,"Often associated with suicide studies."
Module 1 Sociological Perspective,Double Consciousness,"The internal conflict of African Americans (being both Black and American).","W.E.B. Du Bois","Key terms: Two-ness, color line."
Module 1 Sociological Perspective,Research Methods,"Techniques used to gather data (surveys, participant observation, experiments).",-,"Quantitative (numbers) vs Qualitative (words)."
Module 1 Sociological Perspective,Independent Variable,"The variable presumed to cause change; the one manipulated by the researcher.",-,"The 'Cause' variable."
Module 1 Sociological Perspective,Dependent Variable,"The variable that changes in response to the independent variable.",-,"The 'Effect' variable."
Module 1 Sociological Perspective,Correlation vs Causation,"Correlation means variables change together; Causation means one directly produces the other.",-,"Trap: Correlation does NOT imply causation."
Module 1 Sociological Perspective,Hawthorne Effect,"Subjects change their behavior because they know they are being observed.",-,"Also known as the observer effect."
Module 2 Social Institutions,Institution,Function/Role,Key Concepts,CLEP Trap
Module 2 Social Institutions,Family,"Primary agent of socialization; regulates sexual behavior and reproduction.","Nuclear vs Extended, Monogamy vs Polygamy","Nuclear family is parents+kids; Extended includes kin."
Module 2 Social Institutions,Education,"Transmits knowledge, culture, and values (socialization).","Hidden Curriculum, Tracking, Credentialism","Tracking (grouping by ability) reinforces inequality."
Module 2 Social Institutions,Religion,"Provides meaning, social cohesion, and social control.","Sacred vs Profane, Totem, Sect vs Cult","Durkheim: Sacred = awe-inspiring; Profane = everyday."
Module 2 Social Institutions,Economy,"Organizes the production, distribution, and consumption of goods/services.","Capitalism vs Socialism, Post-Industrialism","Capitalism = private ownership; Socialism = collective."
Module 2 Social Institutions,Politics,"Distributes power, sets goals, and makes decisions for society.","Authority (Traditional, Rational-Legal, Charismatic)","Weber's 3 types of authority are highly tested."
Module 2 Social Institutions,Health & Medicine,"Manages illness and health maintenance in society.","Medicalization, Sick Role (Parsons)","Medicalization: defining non-medical problems as illnesses."
Module 2 Social Institutions,Matrilocality,"Custom where a married couple lives with or near the wife's family.",-,"Contrast with Patrilocality (husband's family)."
Module 2 Social Institutions,Patriarchy,"Social organization in which men dominate women.",-,"Most common historical pattern."
Module 2 Social Institutions,Hidden Curriculum,"Subtle lessons schools teach (obedience, conformity) beyond the academic subjects.",-,"Conflict theorists see this as social control."
Module 2 Social Institutions,Secularization,"The historical decline in the importance of the supernatural and religion.",-,"Opposite of religious fundamentalism."
