front,back,CLEP Trap
Sociological Imagination,The ability to connect individual experiences (personal troubles) to larger historical and social forces (public issues). Coined by C. Wright Mills.,"Often confused with simple empathy; specifically links biography to history."
Auguste Comte,The "father of sociology" who coined the term. He advocated for **positivism**: using scientific methods to study society.,"Remember he coined the term ""sociology"" and is associated with Positivism."
Positivism,The philosophy that the social world can be studied with the same scientific accuracy and assurance as the natural world (using observation and statistics).,
Émile Durkheim,A founder of sociology known for **functionalism**, studying **social facts**, and his famous study on **suicide** relating it to social integration (anomie).,"Don't confuse with Marx (conflict) or Weber (interpretive). Key concept: Social Facts."
Anomie,A state of "normlessness" or confusion caused by rapid social change where old norms no longer apply. Associated with Durkheim and later Merton.,"Often confused with alienation (Marx). Anomie is about *rules/norms* breaking down; alienation is about *isolation* from work/self."
Karl Marx,The founder of **conflict theory**. Believed history is driven by class conflict between the **bourgeoisie** (owners) and the **proletariat** (workers).,"Focus is always on *economic* inequality and power struggles, not social cohesion."
Bourgeoisie vs. Proletariat,Marx's two main classes: Bourgeoisie own the means of production (factories, capital); Proletariat sell their labor for wages.,
Max Weber,Key sociologist who emphasized **Verstehen** (understanding subjective meanings), **bureaucracy**, and the connection between the **Protestant Ethic** and capitalism.,"Often tested on ""Verstehen"" and ""Bureaucracy"". Unlike Marx, he saw power as multidimensional (Class, Status, Party)."
Verstehen,German term used by Weber meaning "understanding" or "insight." It refers to seeing the world from the subject's perspective (subjective meaning).,Opposite of strict positivism (just looking at numbers).
Herbert Spencer,Coined the phrase "survival of the fittest" (Social Darwinism). Believed societies evolve from lower to higher forms and government shouldn't interfere.,"Often misattributed to Darwin. Spencer applied it to *society*."
W.E.B. Du Bois,First African American to earn a Harvard PhD. Coined **double consciousness** (the internal conflict of being both Black and American). Founder of the NAACP.,Key term: Double Consciousness.
Structural Functionalism,A theoretical perspective that views society as a complex system of interdependent parts (like organs in a body) working together to maintain stability and order.,"Keywords: Stability, Function, Equilibrium, Order."
Conflict Theory,A theoretical perspective that views society as an arena of inequality that generates conflict and change. Focuses on power struggles over scarce resources.,"Keywords: Power, Inequality, Struggle, Competition, Exploitation."
Symbolic Interactionism,A micro-level theory that focuses on how people use symbols (language, gestures) to create social meaning through everyday interactions.,"Keywords: Symbols, Meaning, Interaction, Face-to-face."
Manifest Functions,The recognized and intended consequences of a social pattern (e.g., school is for learning math).,
Latent Functions,The unrecognized and unintended consequences of a social pattern (e.g., school is for finding a spouse or free childcare).,
Dysfunction,Social patterns that have undesirable consequences for the operation of society.,
Independent Variable,The variable in an experiment that causes change; the one manipulated by the researcher.,"Confused with Dependent Variable. Think: Independent causes change; Dependent *depends* on the change."
Dependent Variable,The variable that changes in response to the independent variable; the effect or thing being measured.,
Correlation vs. Causation,"Correlation means two variables change together. Causation means one variable *causes* the other. Correlation does NOT imply causation.","Major Trap: Just because A and B happen together doesn't mean A caused B (could be a third variable)."
Hawthorne Effect,The phenomenon where subjects change their behavior because they know they are being observed.,
Random Sample,A sample in which every element in the population has an equal chance of being selected. Essential for generalizing results.,"If it's not random, you cannot generalize to the whole population."
Culture,"The shared beliefs, values, norms, behaviors, and material objects that constitute a people's way of life.",
Material vs. Nonmaterial Culture,"Material = physical objects (cars, books). Nonmaterial = abstract ideas (values, beliefs, language).",
Sapir-Whorf Hypothesis,The idea that people see and understand the world through the cultural lens of language; language shapes thought.,
Norms,Rules and expectations by which a society guides the behavior of its members.,
Folkways,Norms for routine or casual interaction (e.g., proper dress, table manners). Violation brings mild sanctions.,"Confused with Mores. Folkways = polite/rude; Mores = right/wrong."
Mores,"Norms that are widely observed and have great moral significance (e.g., prohibitions against theft or adultery).",Violation brings severe sanctions.
Taboo,"A norm so strong that violation brings extreme revulsion (e.g., incest, cannibalism).",
Ethnocentrism,The practice of judging another culture by the standards of one's own culture.,"Confused with Cultural Relativism. Ethnocentrism = ""My culture is best."""
Cultural Relativism,The practice of judging a culture by its *own* standards rather than your own.,
Subculture,"A cultural group within a larger culture, often having beliefs or interests at variance with those of the larger culture (e.g., gamers, bodybuilders).",
