Question,Option A,Option B,Option C,Option D,Option E,Answer
"The term ""sociology"" was coined by its founder, the nineteenth-century positivist:",Émile Durkheim,Auguste Comte,Max Weber,Harriet Martineau,George Herbert Mead,B
"Which of the following terms refers to a philosophical system under which knowledge of the world and human behavior is derived from scientific observation in search of universal laws?",Theology,Determinism,Positivism,Phenomenology,Metaphysics,C
"According to C. Wright Mills, the ability to see the relationship between individual experiences and the larger society is referred to as:",The conflict perspective,Symbolic interaction,Reality perception,The sociological imagination,The scientific vision,D
"Which of the following theorists argued that class conflict was inevitable in a capitalistic society and would result in revolution?",C. Wright Mills,Karl Marx,Robert Park,Max Weber,Karl Mannheim,B
"According to Émile Durkheim, a society that lacks clear-cut norms to govern aspirations and moral conduct is characterized by:",Rationalism,Altruism,Egoism,Secularism,Anomie,E
"Max Weber’s principle of *verstehen* was meant to:",Explain the subjective beliefs that motivate people to act,Determine how society is dysfunctionally organized,Focus on the inequality in society,Search for the social structures that fulfill people’s needs,Identify the patterns of exchange among individuals or groups,A
"Which sociological perspective views society as being composed of groups that engage in fierce competition for scarce resources?",Functionalist perspective,Conflict perspective,Symbolic interactionist perspective,Structuralist perspective,Dramaturgical perspective,B
"Which theoretical perspective stresses that society is a whole unit, made up of interrelated parts that work together harmoniously?",Conflict theory,Functional analysis,Symbolic interactionism,Feminist theory,Postmodernism,B
"What is the underlying principle of symbolic interactionism?",It analyzes how society is a complex system of parts,It analyzes how one’s behavior depends on the way they define themselves and others,It focuses on the struggle for resources between classes,It focuses on the biological basis of human behavior,It uses statistical analysis to predict macro-level trends,B
"Which of the following relies most heavily on sampling methods?",Small group experiment,Laboratory experiment,Participant observation,Survey research,Case study,D
"Which of the following is true of a random sample?",It provides every member of the population with an equal chance of being selected,It is biased and therefore cannot be used to make generalizations,It is mostly used when the research assumes multiple causation,It is mostly used in qualitative research,It creates a control group for an experiment,A
"Which of the following is true of a dependent variable?",It is spurious,It is influenced by another variable,It is manipulated by the researcher,It causes other variables to increase,It is used to draw a sample from a population,B
"According to sociological terminology, an analysis of the amount of violence in mass media, such as television shows, would be which of the following?",Content analysis,Secondary analysis,Quasi-experiment,Participant observation,Ethnographic interview,A
"Which of the following concepts is illustrated by the fact that a successful college president need not be effective in designing the college’s promotional brochures and a successful corporate executive need not be able to program the department’s computer system?",Technological employment,Hierarchy of needs,Goal displacement,Division of labor,Human relations,D
"The process by which an individual learns how to live in his or her social surroundings is known as:",Amalgamation,Association,Collective behavior,Socialization,Innovation,D
"Which of the following allows human beings to adapt to diverse physical environments?",Instinct,Heredity,Culture,Stratification,Ethnocentrism,C
"The practice of judging another culture by the standards of one’s own culture is called:",Ethnocentrism,Cultural relativism,Cultural integration,Transference,Multiculturalism,A
"An example of a folkway in American society is:",Joining a religious cult,Eating a sandwich for lunch,Failing to pay income taxes on time,Stopping for a red light,Being fined for jaywalking,B
"Which of the following can properly be considered norms?",I only (Laws),III only (Mores),I and II only (Laws and Folkways),II and III only (Folkways and Mores),I II and III (Laws Folkways and Mores),E
"What term do sociologists use to describe a culture in which their values and norms place it at odds with the dominant culture?",Subculture,Counterculture,Material culture,Pop culture,High culture,B
"The Sapir-Whorf hypothesis suggests that:",Language is a given,Language precedes thought,Language is not related to categories of thought,All of the world’s languages view the world in a similar way,Animals have complex language ability,B
"Cooley called a person’s self-conception based on the responses of others:",The divided self,Self-esteem,The concrete operational stage,The looking-glass self,The ""I"" and ""me"",D
"According to George Herbert Mead, the ""I"" refers to:",The socialized self that conforms to norms,The spontaneous and impulsive self,The generalized other,The significant other,The imitation stage of development,B
"Which of the following would most likely be an agent of involuntary resocialization?",A public school,A peer group,A mass media outlet,A total institution,A primary group,D
"Socialization takes place:",Only in childhood,Mainly in adolescence,Mainly in early adulthood,Mainly through the reproductive years,Throughout the life cycle,E
"A collection of people who happen to be walking down the street at the same time but who have nothing else in common is known as:",A social movement,A social category,An aggregate,A primary group,A secondary group,C
"Which of the following is a property of a primary group?",It is large and impersonal,It is goal-oriented,It involves face-to-face interaction and emotional depth,It is short-term,It exists to accomplish a specific task,C
"A characteristic of a triad is that it:",Is prone to coalition formation,Allows more power per member than a dyad,Is the smallest type of group,Can develop the strongest relationships,Has little impact on human behavior,A
"In *Gesellschaft*, people are more likely than in *Gemeinschaft* to:",Have frequent face-to-face contact with those they know,See others as a means of advancing their own individual goals,Be united by primary group bonds,Have altruistic concerns for others,Be tradition-directed,B
"Which of the following concepts seeks a consensus of opinion, or group conformity, by taking a narrow view of an issue?",Groupthink,Resocialization,Institutionalization,Mass hysteria,Resource mobilization,A
"Samantha works in a place that is hierarchical in nature, has written rules, and has written communications and records. Based on these characteristics, what can we conclude about Samantha’s workplace?",She works in a voluntary association,She works in a total institution,She works in a bureaucracy,She works in a democratic collective,She works in a pastoral society,C
"According to Robert Merton’s strain theory, what occurs when people accept society’s goals but adopt disapproved means for achieving them?",Conformity,Innovation,Rebellion,Ritualism,Retreatism,B
"Which of the following distinguishes a crime from a deviant act?",The degree of harm caused by the act,The number of people who disapprove of the act,The definition of the act as criminal by a political entity,The social status of the person who committed the act,The social status of the person who is harmed by the act,C
"Who was the sociologist who described deviance this way: It is not the act itself but the reactions to the act, that make something deviant?",Robert Merton,Howard Becker,Erving Goffman,Edwin Sutherland,Travis Hirschi,B
"Which theory assumes that deviance occurs among individuals who are blocked from achieving socially approved goals by legitimate means?",Hirschi’s social control theory,Labeling theory,Merton’s strain theory,Differential association theory,Cultural transmission theory,C
