front,back,Module,CLEP Trap
Introspection,Research tool used by Structuralists to examine one’s own conscious experience.,Module 1: History,CLEP Trap: Too subjective/unreliable; its failure led to the objective rise of Behaviorism.
Functionalism,School of psych (William James) focused on how mental processes help us adapt/survive.,Module 1: History,"CLEP Trap: If the question mentions ""Evolutionary influence"" or ""Purpose,"" it's Functionalism."
Behaviorism,View that psychology should be an objective science that studies behavior without reference to mental processes.,Module 1: History,"CLEP Trap: Led by Watson/Skinner. They ignored ""thinking"" entirely—only focused on what can be seen."
Humanistic Psychology,Perspective emphasizing human growth potential and self-actualization.,Module 1: History,"CLEP Trap: Key names: Maslow/Rogers. It's the ""Third Force""—rejects both Freud and Behaviorism."
Psychoanalytic,Theory (Freud) that unconscious drives and childhood experiences determine behavior.,Module 1: History,"CLEP Trap: Look for keywords like ""Unconscious,"" ""Repressed,"" or ""Early Childhood."""
Biopsychosocial Approach,"Integrated approach that incorporates biological, psychological, and social-cultural levels of analysis.",Module 1: History,"CLEP Trap: This is the modern ""Gold Standard."" Most current Psychologists use this ""eclectic"" view."
Case Study,Descriptive technique in which one individual or group is studied in depth.,Module 13: Methods,"CLEP Trap: Great for rare phenomena, but you CANNOT generalize findings to the whole population."
Correlational Research,Measure of the extent to which two factors vary together.,Module 13: Methods,"CLEP Trap: Correlation DOES NOT equal causation. It only predicts; it doesn't explain ""why."""
Independent Variable,The factor that is manipulated; the variable whose effect is being studied.,Module 13: Methods,"CLEP Trap: This is the ""cause."" In a drug study, the IV is the drug itself (or the dosage)."
Dependent Variable,The outcome factor; the variable that may change in response to manipulations of the IV.,Module 13: Methods,"CLEP Trap: This is the ""effect."" It's usually a measurement (e.g., test scores, reaction time)."
Standard Deviation,A computed measure of how much scores vary around the mean score.,Module 13: Stats,"CLEP Trap: If scores are all very similar, the SD is low. If they are spread out, the SD is high."
Normal Curve (68-95-99.7),Bell-shaped distribution; 68% of scores fall within 1 standard deviation of the mean.,Module 13: Stats,CLEP Trap: Memorize these numbers! 68% is always the answer for 1 standard deviation.
Myelin Sheath,Fatty tissue layer encasing axons; increases transmission speed of neural impulses.,Module 2: Bio,"CLEP Trap: If this breaks down, the result is Multiple Sclerosis (MS)."
Action Potential,A neural impulse; a brief electrical charge that travels down an axon.,Module 2: Bio,"CLEP Trap: It is ""All-or-None."" It doesn't fire ""halfway."""
Synapse,The junction (gap) between the axon tip of the sending neuron and the dendrite of the receiving neuron.,Module 2: Bio,CLEP Trap: Neurons don't actually touch. The message becomes chemical (neurotransmitter) here.
Endorphins,"""Morphine within""—natural, opiate-like neurotransmitters linked to pain control.",Module 2: Bio,"CLEP Trap: Associated with ""Runner's High."" Opiate drugs (Heroin) mimic these."
Sympathetic Nervous System,Division of the autonomic nervous system that arouses the body (Fight or Flight).,Module 2: Bio,"CLEP Trap: Dilates pupils, accelerates heart, inhibits digestion."
Parasympathetic Nervous System,Division of the autonomic nervous system that calms the body (Rest and Digest).,Module 2: Bio,"CLEP Trap: Contracts pupils, slows heart, stimulates digestion."
Medulla,The base of the brainstem; controls heartbeat and breathing.,Module 2: Bio,CLEP Trap: Damage to the medulla is usually fatal because it controls life-support functions.
Cerebellum,"The ""little brain"" at the rear of the brainstem; processes sensory input and coordinates movement/balance.",Module 2: Bio,CLEP Trap: Critical for implicit/procedural memories (like riding a bike).
Amygdala,Two lima-bean-sized neural clusters in the limbic system; linked to emotion (fear and aggression).,Module 2: Bio,"CLEP Trap: If a question mentions a ""startle response"" or ""fear,"" think Amygdala."
Occipital Lobe,Portion of the cerebral cortex lying at the back of the head; includes areas that receive information from the visual fields.,Module 2: Bio,"CLEP Trap: ""Occipital"" = ""Optical."" Damage here causes blindness even if the eyes work."
Broca’s Area,"Controls language expression—an area of the frontal lobe, usually in the left hemisphere.",Module 2: Bio,"CLEP Trap: Damage = ""Broca's Aphasia."" Can understand speech but cannot produce it."
Wernicke’s Area,Controls language reception—usually in the left temporal lobe.,Module 2: Bio,"CLEP Trap: Damage = ""Word Salad."" Can speak, but the sentences make no sense."
Absolute Threshold,The minimum stimulation needed to detect a particular stimulus 50% of the time.,Module 3: Sensation,"CLEP Trap: If you detect it less than 50% of the time, it's called ""subliminal."""
Weber’s Law,"Principle that to be perceived as different, two stimuli must differ by a constant minimum percentage.",Module 3: Sensation,"CLEP Trap: It’s a constant percentage, not a constant amount."
Sensory Adaptation,Diminished sensitivity as a consequence of constant stimulation.,Module 3: Sensation,"CLEP Trap: You stop ""noticing"" the smell of your own house or the feeling of your socks."
Retina,"The light-sensitive inner surface of the eye, containing the receptor rods and cones.",Module 3: Sensation,CLEP Trap: This is where Transduction (converting light to neural signals) happens.
Cones vs. Rods,Cones = Color/Detail (center); Rods = Black/White/Peripheral (sides).,Module 3: Sensation,CLEP Trap: Cones are in the Fovea. Rods help you see in the dark.
Vestibular Sense,"The sense of body movement and position, including the sense of balance.",Module 3: Sensation,CLEP Trap: This is controlled by the Semicircular Canals in the inner ear.
Gestalt,An organized whole; tendency to integrate pieces of information into meaningful wholes.,Module 3: Perception,"CLEP Trap: Key principles: Proximity, Similarity, Continuity, and Closure."
Monocular Cues,"Depth cues available to either eye alone (e.g., relative size, interposition).",Module 3: Perception,"CLEP Trap: ""Retinal Disparity"" is NOT monocular; it is Binocular."
Circadian Rhythm,The biological clock; regular bodily rhythms that occur on a 24-hour cycle.,Module 4: Consciousness,CLEP Trap: Controlled by the Suprachiasmatic Nucleus (SCN) in the Hypothalamus.
REM Sleep,Rapid eye movement sleep; a recurring sleep stage during which vivid dreams commonly occur.,Module 4: Consciousness,"CLEP Trap: Also called ""Paradoxical Sleep"" because the brain is active but muscles are paralyzed."
Sleep Apnea,Sleep disorder characterized by temporary cessations of breathing during sleep.,Module 4: Consciousness,CLEP Trap: Most common in overweight men; involves loud snoring.
Tolerance,The diminishing effect with regular use of the same dose of a drug.,Module 4: Consciousness,CLEP Trap: Leads to Withdrawal if the user stops suddenly.
Classical Conditioning,Type of learning in which one learns to link two or more stimuli and anticipate events.,Module 5: Learning,CLEP Trap: Key names: Pavlov and Watson. Think: Stimulus comes before behavior.
Unconditioned Stimulus (UCS),"A stimulus that naturally and automatically triggers a response (e.g., food).",Module 5: Learning,"CLEP Trap: The ""Natural"" trigger."
Conditioned Stimulus (CS),"An originally irrelevant stimulus that, after association with a UCS, triggers a conditioned response.",Module 5: Learning,"CLEP Trap: The ""Learned"" trigger (e.g., the bell)."
Extinction,The diminishing of a conditioned response.,Module 5: Learning,CLEP Trap: Happens when the CS is presented without the UCS repeatedly.
Operant Conditioning,Type of learning in which behavior is strengthened if followed by a reinforcer or diminished if followed by a punisher.,Module 5: Learning,CLEP Trap: Key name: B.F. Skinner. Think: Behavior comes before the consequence.
