Question,Option A,Option B,Option C,Option D,Option E,Answer
What is it called when a person takes material into their mind from the environ-  ment?,Assimilation,Accommodation,Classification,Stage,Recall,A
Which of the following represents that strongest correlation?,-.10  Byra.23  C) -.44  D) +.89  E,+55  The correct answer is D:) + .89.  3) Which is NOT a step in the scientific method?  A) Gather information  B) Generate hypothesis,Test hypothesis,Revise,None of the above,E
The difference between reality and self-concept is called,Shaping,Behavior rehearsal,Modeling,Incongruence,None of the above,D
Role playing social situations or behaviors is called,Shaping,Behavior rehearsal,Modeling,Incongruence,None of the above,B
What is it called when a person has consistent fear of a serious disease?,Hypochondria,Arachnophobia,Phobia,Obsessive-compulsive disorder,Schizophrenia,A
Which of the following created the client-centered theory of psychology?,Alfred Kinsey,Carl Jung,B. F. Skinner,Carl Rogers,Ivan Pavlov,D
What is it called when a person experiences hallucinations and delusions?,Hypochondria,Arachnophobia,Phobia,Obsessive-compulsive disorder,Schizophrenia,E
Which of the following conducted the Baby Monkey experiment?,Harry Harlow,Mary Ainsworth,Sigmund Freud,Jean Piaget,Lawrence Kohlberg,A
Which of the following studied temperament?,Harry Harlow,Mary Ainsworth,Sigmund Freud,Jean Piaget,Lawrence Kohlberg,B
Cocaine is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,C
Which of the following became famous for his experiments with dogs and condi-  tioning?,Alfred Kinsey,Carl Jung,B. F. Skinner,Carl Rogers,Ivan Pavlov,E
When a person experiences unexpected panic attacks it is called,Bipolar disorder,Panic disorder,Insanity,Agoraphobia,Post-traumatic stress disorder,B
When a person has anxiety about panic attacks in social or embarrassing situa-  tions?,Bipolar disorder,Panic disorder,Insanity,Agoraphobia,Post-traumatic stress disorder,D
When a person experiences extreme stress with biological and psychological  symptoms following a traumatic event it is called,Bipolar disorder,Panic disorder,Insanity,Agoraphobia,Post-traumatic stress disorder,E
When you get used to hearing trains pass by and you no longer notice the train it  is called,Habituation,Stimulus generalization,Convergence,Conditioning,None of the above,A
Visual sensory memory is called,Iconic memory,Echoic memory,Short-term memory,Chunking,Encoding,A
When a person experiences a period with manic and depressive periods it is called,Bipolar disorder,Panic disorder,Insanity,Agoraphobia,Post-traumatic stress disorder,A
"When a person has eating problems, poor body image and maintains low body  weight it is called",Anorexia nervosa,Bulimia nervosa,Schizophrenia,Histrionic personality,Somatoform disorder,A
LSD is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,D
When a person binges on food and then expels the food through regurgitation or  diuretics it is called,Anorexia nervosa,Bulimia nervosa,Schizophrenia,Histrionic personality,Somatoform disorder,B
is a psychotic disorder.,Anorexia nervosa,Bulimia nervosa,Schizophrenia,Histrionic personality,Somatoform disorder,C
In Maslow’s hierarchy of needs if you are in the first stage you are experiencing  which need?,Safety,Food,Respect from others,Love,Realized full potential,B
Codeine is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,B
Alcohol is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,A
In Maslow’s hierarchy of needs if you are in the fifth stage you are experiencing  which need?,Safety,Food,Respect from others,Love,Realized full potential,E
Which of the following is NOT one of Kiibler-Ross’s Stages of Dying?,Denial,Anger,Bargaining,Miracle treatments,Acceptance,D
"To study something unobtrusively, which of the following research method should  be used?",Case study,Longitudinal study,Survey,Experiment,Naturalistic observation,E
When a single male legally mates with many different females it is called,Rotation theory,Polygyny,Monogamy,Adaptive,Sexual selection,B
"MDMA (Ecstasy), GHB, Rohypnol (Ruffies), Clarity, and Ketamine (Special K)  area all examples of what kinds of drugs?",Depressants,Club drugs,Uppers,Prescription drugs,None of the above,B
In Maslow’s hierarchy of needs if you are in the second stage you are experiencing  which need?,Safety,Food,Respect from others,Love,Realized full potential,A
When traits are determined by two genes it is called,Monogenic,Polygenic,Polygyny,Heritability,Mutations,B
What is the school of thought that examines the functions of the mind?,Cognitive,Behavioral,Biological,Psychoanalytical,Humanistic,A
What is the school of thought that revolves around the individual’s unconscious  motivation?,Cognitive,Behavioral,Biological,Psychoanalytical,Humanistic,D
